date,release_no,title,entity_name,entity_type,entity_role,ticker,cik,tags,settled,ticker_resolved,resolution_method
2015-01-12,2015-2,SEC Charges Direct Edge Exchanges With Failing to Properly Describe Order Types,BATS Global Markets,company,defendant,BATS,1659228,disclosure fraud,True,BATS,original
2015-02-10,2015-27,SEC Charges Former Brokerage CEO for His Role in Fraudulent Scheme,ConvergEx Group,company,defendant,CVGP,1094215,"fraudulent scheme, securities fraud, disclosure fraud",True,CVGP,original
2015-02-10,2015-28,SEC Announces Half-Million Dollar Clawback from CFOs of Silicon Valley Company That Committed Accounting Fraud,Saba Software,company,defendant,SABA1,1070380,"accounting fraud, Sarbanes-Oxley Act",True,SABA1,original
2015-02-24,2015-38,SEC Charges Goodyear With FCPA Violations,Goodyear Tire & Rubber Company,company,defendant,GT,42582,"FCPA violations, bribery, compliance controls",True,GT,original
2015-03-26,2015-50,SEC Charges Nearly Two Dozen Unregistered Broker-Dealers,AGS Capital Group,company,defendant,JNS,1065865,"unregistered broker-dealers, securities violations",True,JNS,original
2015-03-31,2015-53,SEC Charges Former Polycom CEO With Hiding Perks From Investors,Polycom Inc.,company,defendant,PLCM,1010552,"disclosure fraud, internal controls failure",True,PLCM,original
2015-04-08,2015-62,SEC Charges Oregon-Based Defense Contractor With FCPA Violations,FLIR Systems Inc.,company,defendant,FLIR,354908,"FCPA violations, bribery, internal controls failure",True,FLIR,original
2015-05-06,2015-81,SEC Charges Four Former Officers of Delaware Bank Holding Company With Disclosure Fraud,Wilmington Trust,company,defendant,WL,872821,"disclosure fraud, financial crisis, improper accounting",False,WL,original
2015-05-12,2015-86,SEC Announces Fraud Charges Against ITT Educational Services,ITT Educational Services Inc.,company,defendant,ESINQ,922475,"fraud, disclosure fraud, for-profit colleges",False,ESINQ,original
2015-06-01,2015-105,"Merrill Lynch Admits Using Inaccurate Data for Short Sale Orders, Agrees to $11 Million Settlement",Merrill Lynch,company,defendant,MER,65100,"short sale violations, securities regulation",True,MER,original
2015-06-18,2015-125,SEC Charges 36 Firms for Fraudulent Municipal Bond Offerings,Morgan Stanley & Co. LLC,company,defendant,MS,895421,"fraudulent municipal bond offerings, disclosure fraud",True,MS,original
2015-06-18,2015-125,SEC Charges 36 Firms for Fraudulent Municipal Bond Offerings,The Northern Trust Company,company,defendant,NTRS,73124,"fraudulent municipal bond offerings, disclosure fraud",True,NTRS,original
2015-06-30,2015-133,SEC Charges Goldman Sachs With Violating Market Access Rule,Goldman Sachs,company,defendant,GSBD,1572694,"market access rule violation, trading incident, erroneous executions",True,GSBD,original
2015-07-02,2015-139,SEC Halts Pyramid/Ponzi Scheme Targeting Spanish and Portuguese Communities,DFRF Enterprises,company,defendant,BFEN,814856,"ponzi scheme, pyramid scheme, fraud",False,BFEN,original
2015-07-06,2015-141,SEC Charges Oil Company and CEO in Scheme Targeting Chinese-Americans and EB-5 Investors,Luca International Group,company,defendant,PSIG,1997201,"Ponzi scheme, affinity fraud, EB-5 program",True,PSIG,original
2015-07-14,2015-146,SEC Charges 34 Defendants in Microcap Market Manipulation Schemes,"B.H.I. Group, Inc.",company,defendant,DHX,1393883,"market manipulation, fraud, unregistered broker-dealers, microcap stocks",False,DHX,original
2015-07-28,2015-154,SEC Charges Mead Johnson Nutrition With FCPA Violations,Mead Johnson Nutrition Company,company,defendant,MJN,1452575,"FCPA violations, improper payments, disclosure fraud",True,MJN,original
2015-08-06,2015-161,"Miller Energy Resources, Former CFO, Current COO Charged With Accounting Fraud",Miller Energy Resources Inc.,company,defendant,MILLQ,785968,"accounting fraud, financial misreporting",False,MILLQ,original
2015-09-08,2015-180,SEC Charges Bankrate and Former Executives With Accounting Fraud,Bankrate Inc.,company,defendant,RATE1,1080866,"accounting fraud, financial manipulation, securities fraud",True,RATE1,original
2015-09-17,2015-194,"SEC Charges Clearing Firm Officials for Improper Margin Loans, Accounting and Disclosure Failures",Penson Worldwide,company,defendant,PNSNQ,1123541,"disclosure fraud, improper margin loans, accounting failures",True,PNSNQ,original
2015-09-22,2015-200,SEC Charges Retailer for Improper Valuation and Inadequate Internal Accounting Controls,Stein Mart Inc.,company,defendant,SMRTQ,884940,"disclosure fraud, accounting fraud",True,SMRTQ,original
2015-09-25,2015-210,SEC Charges Former Officers of SMF Energy With Fraud,SMF Energy Corp.,company,defendant,FUELQ,1024452,"financial fraud, disclosure fraud",False,FUELQ,original
2015-09-30,2015-223,China-Based Company and CEO To Pay $55.6 Million for Inaccurate Disclosures,Focus Media Holding Limited,company,defendant,FMCN,1330017,disclosure fraud,True,FMCN,original
2015-10-05,2015-229,SEC Charges Bristol-Myers Squibb With FCPA Violations,Bristol-Myers Squibb,company,defendant,BMY,14272,"FCPA violations, pharmaceutical, bribery",True,BMY,original
